_c0,venueid
1377540000,4ab427dff964a520227020e3
1377540000,4e28a8bbae60078b2fcdb816
1378180800,4ab427dff964a520227020e3
1376586000,4ab427dff964a520227020e3
1376586000,4ab427dff964a520227020e3
1376082000,4ab427dff964a520227020e3
1376757000,4ab427dff964a520227020e3
1377646200,4ab427dff964a520227020e3
1376757000,4ab427dff964a520227020e3
1376096400,4ab427dff964a520227020e3
1376092800,4ab427dff964a520227020e3
1376526600,4ab427dff964a520227020e3
1376582400,4ab427dff964a520227020e3
1376238600,4ab427dff964a520227020e3
1376841600,4ab427dff964a520227020e3
1375819200,4ab427dff964a520227020e3
1376782200,4ab427dff964a520227020e3
1377108000,4ab427dff964a520227020e3
1376526600,4ab427dff964a520227020e3
1377030600,4ab427dff964a520227020e3
