partid,partidgeo,XXX_ID,unique_xy_round,final_x,final_y,final_xy,finestflag_OV,XXX_1990,XXX_1991,XXX_1992,XXX_1993,XXX_1994,XXX_1995,XXX_1996,XXX_1997,XXX_1998,XXX_1999,XXX_2000,XXX_2001,XXX_2002,XXX_2003,XXX_2004,XXX_2005,XXX_2006,XXX_2007,XXX_2008,XXX_2009,XXX_2010
230349,23034902,10195362132.0,564340^4483360,-74.24069731600001,40.498473443,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
230349,23034902,10081421112.0,564300^4483390,-74.241161996,40.498708523000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
230349,23034902,10187683276.0,564300^4483390,-74.241161996,40.498708523000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
230349,23034902,10022441948.0,564450^4483420,-74.23941189,40.498975691999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
230349,23034902,10125678669.0,564320^4483420,-74.240900655,40.499024728,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
230349,23034902,10129028630.0,564290^4483430,-74.241285533,40.499065091999995,1,19,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
230349,23034902,10197715878.0,564290^4483430,-74.241285533,40.499065091999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230349,23034902,10626067123.0,564290^4483430,-74.241285533,40.499065091999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
230349,23034902,10942517731.0,564290^4483430,-74.241285533,40.499065091999995,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
