pctorigarea,geoid,cdbawcensusuid
0.0184,36081017100,2
0.1778,36047044900,2
0.0033,36061002400,2
1.0,36047056900,2
1.0,36047059300,2
0.1036,36047055100,2
0.316,36061002800,2
0.781,36047047700,2
0.7315,36047049700,2
1.0,36047049900,2
0.9991,36047050100,2
0.0394,36047050300,2
0.1216,36047051300,2
1.0,36047051500,2
1.0,36047051700,2
0.9158,36047051900,2
0.0,36047052300,2
1.0,36047055300,2
1.0,36047056100,2
1.0,36047057100,2
1.0,36047057300,2
1.0,36047059100,2
0.0014,36061004400,2
1.0,36047055700,2
0.0009,36061002000,2
0.0025,36061002400,2
0.0019,36061002400,2
0.0113,36061002400,2
0.6944,36061002400,2
0.9998,36047055500,2
0.7604,36081000100,2
0.0033,36061008601,2
1.0,36047056300,2
1.0,36047056500,2
1.0,36047057500,2
1.0,36047057900,2
0.7931,36081000700,2
0.1699,36081001900,2
1.0,36047058900,2
0.4999,36081019900,2
0.0104,36061006200,2
0.2175,36061006200,2
0.3638,36061006000,2
0.4821,36061004400,2
