cartodb_id,area_sqmeters,pctorigarea,geoid,cdbawcensusuid,ct10sqmtr
1,22844.6922259,0.0184,36081017100,2,1242640.02972
2,379755.974779,0.1778,36047044900,2,2135759.85482
3,575.662589224,0.0033,36061002400,2,173112.923067
4,127858.727652,1.0,36047056900,2,127857.239383
5,188009.403047,1.0,36047059300,2,188007.397406
6,24168.1867018,0.1036,36047055100,2,233296.029407
7,57968.1304827,0.316,36061002800,2,183464.304707
8,169966.618001,0.781,36047047700,2,217639.030415
9,120559.840561,0.7315,36047049700,2,164803.482176
10,142347.483617,1.0,36047049900,2,142346.030087
11,173069.936401,0.9991,36047050100,2,173220.4407
12,4942.62990477,0.0394,36047050300,2,125303.47966
13,31367.0824586,0.1216,36047051300,2,258051.981019
14,186366.171311,1.0,36047051500,2,186364.779298
15,187694.994773,1.0,36047051700,2,187693.170705
16,251833.771419,0.9158,36047051900,2,274981.774424
17,7.15449438186,0.0,36047052300,2,144000.65651
18,156251.825854,1.0,36047055300,2,156250.445405
19,332536.133441,1.0,36047056100,2,332533.082029
20,175852.213166,1.0,36047057100,2,175850.252692
21,170121.187816,1.0,36047057300,2,170119.355623
22,191455.104202,1.0,36047059100,2,191453.133083
23,543.400511672,0.0014,36061004400,2,397102.677319
24,296761.671607,1.0,36047055700,2,296758.767785
25,118.898678136,0.0009,36061002000,2,126701.820102
26,440.102210999,0.0025,36061002400,2,173112.923067
27,325.43033385,0.0019,36061002400,2,173112.923067
28,1963.657717,0.0113,36061002400,2,173112.923067
29,120203.122343,0.6944,36061002400,2,173112.923067
30,264523.541088,0.9998,36047055500,2,264569.389165
31,868339.617905,0.7604,36081000100,2,1141937.33165
32,371.396756303,0.0033,36061008601,2,113482.168222
33,371140.638217,1.0,36047056300,2,371136.570393
34,237927.677195,1.0,36047056500,2,237925.438379
35,187180.779019,1.0,36047057500,2,187178.917631
36,731759.174698,1.0,36047057900,2,731751.428523
37,432360.47391,0.7931,36081000700,2,545144.002465
38,148276.989035,0.1699,36081001900,2,872830.677373
39,426877.074545,1.0,36047058900,2,426872.673876
40,790305.330557,0.4999,36081019900,2,1580952.49689
41,3068.3997689,0.0104,36061006200,2,294990.864485
42,64147.7607273,0.2175,36061006200,2,294990.864485
43,43848.4341203,0.3638,36061006000,2,120524.184641
44,191433.461879,0.4821,36061004400,2,397102.677319
