cartodb_id,area_sqmeters,pctorigarea,geoid,cdbawcensusuid,ct10sqmtr
1,22844.6922259,0.0183839983258,36081017100,2,1242640.02972
2,379755.974779,0.177808368259,36047044900,2,2135759.85482
3,575.662589224,0.00332535884107,36061002400,2,173112.923067
4,127858.727652,1.00001164008,36047056900,2,127857.239383
5,188009.403047,1.00001066789,36047059300,2,188007.397406
6,24168.1867018,0.103594505072,36047055100,2,233296.029407
7,57968.1304827,0.315964081271,36061002800,2,183464.304707
8,169966.618001,0.780956511691,36047047700,2,217639.030415
9,120559.840561,0.731536973428,36047049700,2,164803.482176
10,142347.483617,1.00001021124,36047049900,2,142346.030087
11,173069.936401,0.999131140075,36047050100,2,173220.4407
12,4942.62990477,0.039445272535,36047050300,2,125303.47966
13,31367.0824586,0.121553348805,36047051300,2,258051.981019
14,186366.171311,1.00000746929,36047051500,2,186364.779298
15,187694.994773,1.00000971835,36047051700,2,187693.170705
16,251833.771419,0.915819864594,36047051900,2,274981.774424
17,7.15449438186,4.96837622498e-05,36047052300,2,144000.65651
18,156251.825854,1.00000883485,36047055300,2,156250.445405
19,332536.133441,1.00000917627,36047056100,2,332533.082029
20,175852.213166,1.00001114854,36047057100,2,175850.252692
21,170121.187816,1.00001077004,36047057300,2,170119.355623
22,191455.104202,1.00001029557,36047059100,2,191453.133083
23,543.400511672,0.00136841311507,36061004400,2,397102.677319
24,296761.671607,1.00000978513,36047055700,2,296758.767785
25,118.898678136,0.000938413339605,36061002000,2,126701.820102
26,440.102210999,0.00254228397974,36061002400,2,173112.923067
27,325.43033385,0.00187987313763,36061002400,2,173112.923067
28,1963.657717,0.0113432185316,36061002400,2,173112.923067
29,120203.122343,0.694362501732,36061002400,2,173112.923067
30,264523.541088,0.999826706797,36047055500,2,264569.389165
31,868339.617905,0.760409169433,36081000100,2,1141937.33165
32,371.396756303,0.00327273229021,36061008601,2,113482.168222
33,371140.638217,1.00001096045,36047056300,2,371136.570393
34,237927.677195,1.00000940974,36047056500,2,237925.438379
35,187180.779019,1.00000994443,36047057500,2,187178.917631
36,731759.174698,1.0000105858,36047057900,2,731751.428523
37,432360.47391,0.793112410584,36081000700,2,545144.002465
38,148276.989035,0.169880588388,36081001900,2,872830.677373
39,426877.074545,1.00001030909,36047058900,2,426872.673876
40,790305.330557,0.499891889296,36081019900,2,1580952.49689
41,3068.3997689,0.0104016772664,36061006200,2,294990.864485
42,64147.7607273,0.217456770532,36061006200,2,294990.864485
43,43848.4341203,0.363814401657,36061006000,2,120524.184641
44,191433.461879,0.482075475217,36061004400,2,397102.677319
