cartodb_id,area_sqmeters,pctorigarea,geoid,cdbawcensusuid,sq_km
1,57968.1304827,0.315962817409,36061002800,1,0.18346503857
2,169966.618001,0.780953387882,36047047700,1,0.21763990097
3,120559.840561,0.731534047292,36047049700,1,0.16480414139
4,142347.483617,1.00000621123,36047049900,1,0.14234659947
5,173069.936401,0.999127143576,36047050100,1,0.17322113358
6,4942.62990477,0.0394451147526,36047050300,1,0.12530398088
7,31367.0824586,0.121552862592,36047051300,1,0.25805301323
8,186366.171311,1.00000346926,36047051500,1,0.18636552476
9,187694.994773,1.00000571831,36047051700,1,0.18769392148
10,251833.771419,0.915816201299,36047051900,1,0.27498287436
11,7.15449438186,4.96835635165e-05,36047052300,1,0.14400123251
12,156251.825854,1.00000483481,36047055300,1,0.15625107041
13,332536.133441,1.00000517622,36047056100,1,0.33253441217
14,187180.779019,1.00000594439,36047057500,1,0.18717966635
15,371140.638217,1.00000696042,36047056300,1,0.37113805494
16,237927.677195,1.00000540972,36047056500,1,0.23792639008
17,127858.727652,1.00000764007,36047056900,1,0.12785775081
18,175852.213166,1.00000714847,36047057100,1,0.1758509561
19,170121.187816,1.00000677002,36047057300,1,0.1701200361
20,731759.174698,1.00000658576,36047057900,1,0.73175435554
21,191455.104202,1.00000629552,36047059100,1,0.1914538989
22,432360.47391,0.793109238133,36081000700,1,0.54514618305
23,148276.989035,0.169879908865,36081001900,1,0.87283416871
24,67216.1604962,0.227857536367,36061006200,1,0.29499204445
25,43848.4341203,0.363812946398,36061006000,1,0.12052466674
26,191976.86239,0.483441954564,36061004400,1,0.39710426573
27,296761.671607,1.0000057851,36047055700,1,0.29675995482
28,24168.1867018,0.103594090697,36047055100,1,0.23329696259
29,118.898678136,0.000938409585961,36061002000,1,0.12670232691
30,123507.975194,0.713450382415,36061002400,1,0.17311361552
31,264523.541088,0.999822707478,36047055500,1,0.26457044745
32,868339.617905,0.760406127802,36081000100,1,1.14194189941
33,371.396756303,0.00327271919935,36061008601,1,0.11348262215
34,379755.974779,0.177807657026,36047044900,1,2.13576839789
35,188009.403047,1.00000666784,36047059300,1,0.18800814944
36,426877.074545,1.00000630906,36047058900,1,0.42687438137
37,790305.330557,0.49988988973,36081019900,1,1.58095882072
38,22844.6922259,0.0183839247898,36081017100,1,1.2426450003
