cartodb_id,area_sqmeters,pctorigarea,geoid,cdbawcensusuid,ct10sqmtr
1,104936.478346,1.00000799436,36061004500,1,104935.639453
2,1282.03100112,0.00490102653847,36061001501,1,261584.178551
3,280.725666928,0.00107317525273,36061001501,1,261584.178551
4,43831.7548852,0.201967300767,36061001502,1,217024.016852
5,238968.66164,1.00000856192,36061031703,1,238966.615626
6,90268.0386807,1.00000912831,36061000201,1,90267.2146933
7,260023.659066,0.994034350648,36061001501,1,261584.178551
8,207318.352352,1.00000889344,36061004900,1,207316.508595
9,81671.7138198,0.656786814833,36061005501,1,124350.416262
10,82058.4854971,0.710557794162,36061005502,1,115484.604027
11,1584.72341376,0.0202799780305,36061003002,1,78142.264818
12,99168.6163569,1.00000872892,36061003601,1,99167.7507294
13,49697.1149097,0.556762633918,36061003602,1,89260.8660894
14,341684.910328,1.00000924585,36061003300,1,341681.751189
15,165419.697754,1.000009288,36061004700,1,165418.161351
16,191290.609497,1.00000841284,36061004100,1,191289.000214
17,149238.730976,1.00000833517,36061004300,1,149237.487056
18,11524.9972585,0.0955757273333,36061001200,1,120584.980937
19,90685.965859,0.970237113639,36061001401,1,93467.8385152
20,98764.1288452,0.86697959716,36061001402,1,113917.477607
21,173193.20283,0.798037034529,36061001502,1,217024.016852
22,222844.388243,1.00000888743,36061001800,1,222842.407746
23,242784.228653,1.0000089762,36061002100,1,242782.049392
24,59509.3168686,1.00000735613,36061002700,1,59508.8791133
25,76449.3964408,0.611930005325,36061003001,1,124931.602921
26,134672.130749,1.00000843934,36061002500,1,134670.994214
27,320649.052905,1.0000091298,36061003900,1,320646.125471
28,218858.502846,1.00000840031,36061000800,1,218856.664382
29,207246.847186,1.00000833173,36061001600,1,207245.120475
30,381447.336528,1.00000953097,36061003700,1,381443.700999
31,173951.079679,0.836480875285,36047000100,1,207955.835953
32,215382.353125,0.91646020989,36061000700,1,235015.498546
33,240005.804314,1.00000846154,36061000600,1,240003.773513
34,2767.29186278,0.00949116345154,36047001300,1,291565.083344
35,60281.8142909,0.195673878059,36061000202,1,308072.875587
36,207478.979527,0.392133988877,36047002100,1,529102.259461
37,205218.33263,1.00000804659,36061003100,1,205216.681335
38,1688.98709926,0.00584438907437,36061000900,1,288992.925996
39,218389.075649,1.0000081361,36061031704,1,218387.298827
40,279359.105643,1.00000828681,36061002900,1,279356.790666
41,243555.304505,0.842772547687,36061000900,1,288992.925996
42,321841.567905,1.00000774275,36061001300,1,321839.075984
43,101224.891812,1.00000769621,36061031900,1,101224.11277
44,19635.0630251,0.0835479495889,36061000700,1,235015.498546
45,21237.1308908,0.0734866807471,36061000900,1,288992.925996
46,1141.7846061,0.0136328032884,36047000501,1,83752.738299
47,66640.4333518,0.333557929041,36047000301,1,199786.686359
48,44511.4396347,0.264247755188,36061006700,1,168445.857196
49,57105.6761197,0.283713449867,36061006500,1,201279.411133
50,38208.815725,0.174942502823,36061006900,1,218407.848912
