cartodb_id,area_sqmeters,pctorigarea,geoid,cdbawcensusuid,ct10sqmtr
1,104936.478346,1.0,36061004500,1,104935.639453
2,1282.03100112,0.0049,36061001501,1,261584.178551
3,280.725666928,0.0011,36061001501,1,261584.178551
4,43831.7548852,0.202,36061001502,1,217024.016852
5,238968.66164,1.0,36061031703,1,238966.615626
6,90268.0386807,1.0,36061000201,1,90267.2146933
7,260023.659066,0.994,36061001501,1,261584.178551
8,207318.352352,1.0,36061004900,1,207316.508595
9,81671.7138198,0.6568,36061005501,1,124350.416262
10,82058.4854971,0.7106,36061005502,1,115484.604027
11,1584.72341376,0.0203,36061003002,1,78142.264818
12,99168.6163569,1.0,36061003601,1,99167.7507294
13,49697.1149097,0.5568,36061003602,1,89260.8660894
14,341684.910328,1.0,36061003300,1,341681.751189
15,165419.697754,1.0,36061004700,1,165418.161351
16,191290.609497,1.0,36061004100,1,191289.000214
17,149238.730976,1.0,36061004300,1,149237.487056
18,11524.9972585,0.0956,36061001200,1,120584.980937
19,90685.965859,0.9702,36061001401,1,93467.8385152
20,98764.1288452,0.867,36061001402,1,113917.477607
21,173193.20283,0.798,36061001502,1,217024.016852
22,222844.388243,1.0,36061001800,1,222842.407746
23,242784.228653,1.0,36061002100,1,242782.049392
24,59509.3168686,1.0,36061002700,1,59508.8791133
25,76449.3964408,0.6119,36061003001,1,124931.602921
26,134672.130749,1.0,36061002500,1,134670.994214
27,320649.052905,1.0,36061003900,1,320646.125471
28,218858.502846,1.0,36061000800,1,218856.664382
29,207246.847186,1.0,36061001600,1,207245.120475
30,381447.336528,1.0,36061003700,1,381443.700999
31,173951.079679,0.8365,36047000100,1,207955.835953
32,215382.353125,0.9165,36061000700,1,235015.498546
33,240005.804314,1.0,36061000600,1,240003.773513
34,2767.29186278,0.0095,36047001300,1,291565.083344
35,60281.8142909,0.1957,36061000202,1,308072.875587
36,207478.979527,0.3921,36047002100,1,529102.259461
37,205218.33263,1.0,36061003100,1,205216.681335
38,1688.98709926,0.0058,36061000900,1,288992.925996
39,218389.075649,1.0,36061031704,1,218387.298827
40,279359.105643,1.0,36061002900,1,279356.790666
41,243555.304505,0.8428,36061000900,1,288992.925996
42,321841.567905,1.0,36061001300,1,321839.075984
43,101224.891812,1.0,36061031900,1,101224.11277
44,19635.0630251,0.0835,36061000700,1,235015.498546
45,21237.1308908,0.0735,36061000900,1,288992.925996
46,1141.7846061,0.0136,36047000501,1,83752.738299
47,66640.4333518,0.3336,36047000301,1,199786.686359
48,44511.4396347,0.2642,36061006700,1,168445.857196
49,57105.6761197,0.2837,36061006500,1,201279.411133
50,38208.815725,0.1749,36061006900,1,218407.848912
