date,tempmean,tempmax,tempmin,precip,snow,dewpt,wind,location
20110101,47,53,40,0.00,0.00,35.0,3.0,knyc-central park
20110102,44,52,35,0.01,0.00,41.0,5.0,knyc-central park
20110103,32,36,28,0.00,0.00,12.0,9.0,knyc-central park
20110104,36,39,32,0.00,0.00,16.0,6.0,knyc-central park
20110105,34,39,29,0.00,0.00,17.0,6.0,knyc-central park
20110106,30,33,26,0.00,0.00,15.0,3.0,knyc-central park
20110107,29,33,25,0.19,1.70,25.0,5.0,knyc-central park
20110108,27,31,23,0.001,0.001,19.0,4.0,knyc-central park
20110109,29,32,26,0.00,0.00,13.0,11.0,knyc-central park
20110110,30,35,24,0.00,0.00,14.0,9.0,knyc-central park
20110111,27,31,23,0.25,3.00,20.0,6.0,knyc-central park
20110112,28,31,24,0.61,6.10,19.0,11.0,knyc-central park
20110113,24,30,18,0.00,0.00,10.0,11.0,knyc-central park
20110114,24,30,18,0.00,0.00,10.0,6.0,knyc-central park
20110115,31,38,23,0.00,0.00,17.0,5.0,knyc-central park
20110116,32,37,26,0.00,0.00,12.0,8.0,knyc-central park
20110117,23,27,19,0.001,0.001,7.0,7.0,knyc-central park
20110118,33,41,24,1.27,1.00,29.0,10.0,knyc-central park
20110119,38,41,35,0.07,0.00,32.0,14.0,knyc-central park
20110120,33,35,30,0.00,0.00,17.0,7.0,knyc-central park
20110121,25,32,18,0.41,4.20,18.0,9.0,knyc-central park
20110122,19,24,13,0.00,0.00,2.0,6.0,knyc-central park
20110123,18,24,11,0.00,0.00,1.0,10.0,knyc-central park
20110124,15,24,6,0.00,0.00,-3.0,6.0,knyc-central park
20110125,31,37,24,0.05,1.00,22.0,4.0,knyc-central park
20110126,33,35,30,1.29,12.30,28.0,9.0,knyc-central park
20110127,33,36,29,0.86,6.70,25.0,3.0,knyc-central park
20110128,31,34,28,0.001,0.001,25.0,4.0,knyc-central park
20110129,33,36,29,0.01,0.001,24.0,4.0,knyc-central park
20110130,33,39,27,0.00,0.00,21.0,6.0,knyc-central park
20110131,27,31,22,0.001,0.001,10.0,6.0,knyc-central park
20110201,28,30,25,0.17,1.10,24.0,9.0,knyc-central park
20110202,33,38,27,0.70,0.50,29.0,7.0,knyc-central park
20110203,29,34,24,0.00,0.00,11.0,9.0,knyc-central park
20110204,29,34,23,0.00,0.00,13.0,6.0,knyc-central park
20110205,37,43,31,0.21,0.001,32.0,6.0,knyc-central park
20110206,41,45,37,0.00,0.00,26.0,7.0,knyc-central park
20110207,41,45,36,0.13,0.00,30.0,5.0,knyc-central park
20110208,30,41,18,0.11,0.00,25.0,12.0,knyc-central park
20110209,22,29,15,0.00,0.00,4.0,8.0,knyc-central park
20110210,26,29,22,0.00,0.00,3.0,8.0,knyc-central park
20110211,28,37,19,0.00,0.00,5.0,6.0,knyc-central park
20110212,35,40,30,0.00,0.00,16.0,9.0,knyc-central park
20110213,37,46,28,0.00,0.00,17.0,8.0,knyc-central park
20110214,48,58,37,0.00,0.00,26.0,13.0,knyc-central park
20110215,31,37,25,0.00,0.00,4.0,12.0,knyc-central park
20110216,37,48,26,0.00,0.00,11.0,5.0,knyc-central park
20110217,55,63,46,0.00,0.00,31.0,4.0,knyc-central park
20110218,57,67,46,0.00,0.00,40.0,7.0,knyc-central park
20110219,39,54,23,0.001,0.001,11.0,16.0,knyc-central park
20110220,31,40,21,0.00,0.00,7.0,9.0,knyc-central park
20110221,31,37,24,0.34,3.20,24.0,8.0,knyc-central park
20110222,26,36,16,0.00,0.00,6.0,7.0,knyc-central park
20110223,31,40,21,0.00,0.00,6.0,4.0,knyc-central park
