date,tempmean,tempmax,tempmin,precip,snow,location
20130521,77,86,68,0.00,0.00,knyc-central park
20130522,69,78,59,0.00,0.00,knyc-central park
20130523,72,80,64,1.81,0.00,knyc-central park
20130524,55,65,45,0.30,0.00,knyc-central park
20130525,50,54,45,0.14,0.00,knyc-central park
20130526,57,66,48,0.00,0.00,knyc-central park
20130527,62,73,51,0.00,0.00,knyc-central park
20130528,62,68,56,0.52,0.00,knyc-central park
20130529,70,82,58,0.00,0.00,knyc-central park
20130530,81,90,72,0.00,0.00,knyc-central park
20130531,83,90,75,0.00,0.00,knyc-central park
20130601,82,90,73,0.00,0.00,knyc-central park
20130602,79,88,69,0.85,0.00,knyc-central park
20130603,72,78,66,0.87,0.00,knyc-central park
20130604,66,75,57,0.00,0.00,knyc-central park
20130605,66,74,58,0.00,0.00,knyc-central park
20130606,65,70,59,0.13,0.00,knyc-central park
20130607,61,63,59,4.16,0.00,knyc-central park
20130608,67,77,57,0.48,0.00,knyc-central park
20130609,72,80,63,0.00,0.00,knyc-central park
20130610,66,70,62,1.38,0.00,knyc-central park
20130611,72,80,64,0.09,0.00,knyc-central park
20130612,71,76,65,0.00,0.00,knyc-central park
20130613,62,69,55,1.26,0.00,knyc-central park
20130614,63,72,53,0.38,0.00,knyc-central park
20130615,71,80,61,0.00,0.00,knyc-central park
20130616,73,80,65,0.00,0.00,knyc-central park
20130617,77,84,69,0.01,0.00,knyc-central park
20130618,74,84,64,0.19,0.00,knyc-central park
20130619,68,77,59,0.01,0.00,knyc-central park
20130620,71,80,62,0.00,0.00,knyc-central park
20130621,73,82,64,0.00,0.00,knyc-central park
20130622,75,84,65,0.00,0.00,knyc-central park
20130623,79,88,70,0.00,0.00,knyc-central park
20130624,83,92,74,0.00,0.00,knyc-central park
20130625,82,91,73,0.001,0.00,knyc-central park
20130626,80,85,74,0.05,0.00,knyc-central park
20130627,80,86,73,0.24,0.00,knyc-central park
20130628,79,85,73,0.001,0.00,knyc-central park
20130629,77,83,71,0.00,0.00,knyc-central park
20130630,80,86,73,0.001,0.00,knyc-central park
20130701,75,77,72,0.84,0.00,knyc-central park
20130702,77,82,72,0.08,0.00,knyc-central park
20130703,78,83,73,0.53,0.00,knyc-central park
20130704,81,87,75,0.00,0.00,knyc-central park
20130705,83,90,76,0.00,0.00,knyc-central park
20130706,85,92,78,0.00,0.00,knyc-central park
20130707,85,92,78,0.00,0.00,knyc-central park
20130708,81,89,73,0.22,0.00,knyc-central park
20130709,81,88,74,0.23,0.00,knyc-central park
20130710,80,85,75,0.001,0.00,knyc-central park
20130711,80,84,76,0.001,0.00,knyc-central park
20130712,73,77,68,0.25,0.00,knyc-central park
20130713,74,81,67,0.06,0.00,knyc-central park
20130714,82,90,74,0.00,0.00,knyc-central park
20130715,86,94,78,0.00,0.00,knyc-central park
20130716,86,94,77,0.00,0.00,knyc-central park
20130717,88,97,79,0.00,0.00,knyc-central park
20130718,90,98,81,0.00,0.00,knyc-central park
20130719,90,96,83,0.00,0.00,knyc-central park
20130720,87,93,81,0.00,0.00,knyc-central park
20130721,83,89,76,0.00,0.00,knyc-central park
20130722,81,86,75,0.06,0.00,knyc-central park
20130723,80,87,73,0.31,0.00,knyc-central park
20130724,76,83,68,0.00,0.00,knyc-central park
20130725,66,68,64,0.01,0.00,knyc-central park
20130726,74,83,65,0.00,0.00,knyc-central park
20130727,76,82,70,0.00,0.00,knyc-central park
20130728,74,78,70,0.24,0.00,knyc-central park
20130729,77,85,69,0.01,0.00,knyc-central park
20130730,75,83,67,0.00,0.00,knyc-central park
20130731,75,83,67,0.00,0.00,knyc-central park
20130801,71,76,66,0.65,0.00,knyc-central park
20130802,75,83,67,0.00,0.00,knyc-central park
20130803,73,78,68,0.06,0.00,knyc-central park
20130804,73,80,66,0.00,0.00,knyc-central park
20130805,70,78,62,0.00,0.00,knyc-central park
20130806,73,82,64,0.00,0.00,knyc-central park
20130807,75,80,70,0.001,0.00,knyc-central park
20130808,76,81,70,0.46,0.00,knyc-central park
20130809,80,85,74,0.05,0.00,knyc-central park
20130810,77,83,70,0.00,0.00,knyc-central park
20130811,73,81,65,0.00,0.00,knyc-central park
20130812,76,82,70,0.05,0.00,knyc-central park
20130813,73,77,68,0.85,0.00,knyc-central park
20130814,68,74,61,0.00,0.00,knyc-central park
20130815,69,78,59,0.00,0.00,knyc-central park
20130816,73,82,64,0.00,0.00,knyc-central park
20130817,74,84,64,0.00,0.00,knyc-central park
20130818,72,76,68,0.001,0.00,knyc-central park
20130819,73,79,66,0.001,0.00,knyc-central park
20130820,78,88,68,0.00,0.00,knyc-central park
20130821,81,90,72,0.00,0.00,knyc-central park
20130822,75,78,71,0.25,0.00,knyc-central park
20130823,77,82,71,0.00,0.00,knyc-central park
20130824,73,80,65,0.00,0.00,knyc-central park
20130825,74,83,64,0.00,0.00,knyc-central park
20130826,76,84,68,0.04,0.00,knyc-central park
20130827,79,87,71,0.01,0.00,knyc-central park
20130828,79,86,71,0.43,0.00,knyc-central park
20130829,76,80,71,0.001,0.00,knyc-central park
20130830,78,85,70,0.00,0.00,knyc-central park
20130831,80,86,73,0.00,0.00,knyc-central park
20130901,80,84,75,0.00,0.00,knyc-central park
20130902,78,82,74,0.05,0.00,knyc-central park
20130903,75,82,68,0.03,0.00,knyc-central park
20130904,74,82,65,0.00,0.00,knyc-central park
20130905,72,80,64,0.00,0.00,knyc-central park
20130906,65,72,57,0.00,0.00,knyc-central park
20130907,70,80,59,0.00,0.00,knyc-central park
20130908,74,83,64,0.001,0.00,knyc-central park
20130909,65,73,57,0.00,0.00,knyc-central park
20130910,78,87,68,0.01,0.00,knyc-central park
20130911,87,96,77,0.00,0.00,knyc-central park
20130912,79,87,70,1.60,0.00,knyc-central park
20130913,68,77,59,0.06,0.00,knyc-central park
20130914,61,67,54,0.00,0.00,knyc-central park
20130915,62,73,51,0.00,0.00,knyc-central park
20130916,65,73,56,0.03,0.00,knyc-central park
20130917,58,65,50,0.00,0.00,knyc-central park
20130918,62,72,51,0.00,0.00,knyc-central park
20130919,67,78,55,0.00,0.00,knyc-central park
20130920,70,79,60,0.00,0.00,knyc-central park
20130921,69,77,61,0.72,0.00,knyc-central park
20130922,62,69,54,0.45,0.00,knyc-central park
20130923,58,66,50,0.00,0.00,knyc-central park
20130924,60,73,47,0.00,0.00,knyc-central park
20130925,63,73,52,0.00,0.00,knyc-central park
20130926,65,71,58,0.00,0.00,knyc-central park
20130927,63,69,57,0.00,0.00,knyc-central park
20130928,65,73,56,0.00,0.00,knyc-central park
20130929,65,72,57,0.00,0.00,knyc-central park
20130930,66,75,56,0.00,0.00,knyc-central park
20131001,71,82,59,0.00,0.00,knyc-central park
20131002,74,83,64,0.00,0.00,knyc-central park
20131003,71,78,63,0.00,0.00,knyc-central park
20131004,76,86,66,0.001,0.00,knyc-central park
20131005,70,76,64,0.00,0.00,knyc-central park
20131006,68,70,65,0.001,0.00,knyc-central park
20131007,68,76,60,0.25,0.00,knyc-central park
20131008,61,67,54,0.00,0.00,knyc-central park
20131009,58,62,53,0.00,0.00,knyc-central park
20131010,60,65,54,0.001,0.00,knyc-central park
20131011,64,68,60,0.02,0.00,knyc-central park
20131012,66,72,60,0.00,0.00,knyc-central park
20131013,61,65,56,0.00,0.00,knyc-central park
20131014,59,66,52,0.00,0.00,knyc-central park
20131015,63,72,53,0.00,0.00,knyc-central park
20131016,62,67,56,0.00,0.00,knyc-central park
20131017,67,73,61,0.02,0.00,knyc-central park
20131018,62,68,55,0.00,0.00,knyc-central park
20131019,58,64,52,0.01,0.00,knyc-central park
20131020,57,63,50,0.00,0.00,knyc-central park
20131021,58,66,50,0.00,0.00,knyc-central park
20131022,59,67,51,0.00,0.00,knyc-central park
20131023,50,55,45,0.00,0.00,knyc-central park
20131024,48,54,41,0.00,0.00,knyc-central park
20131025,47,53,40,0.00,0.00,knyc-central park
20131026,48,55,41,0.00,0.00,knyc-central park
20131027,52,58,46,0.00,0.00,knyc-central park
20131028,52,61,43,0.00,0.00,knyc-central park
20131029,50,56,44,0.00,0.00,knyc-central park
20131030,54,60,47,0.00,0.00,knyc-central park
20131101,65,70,59,0.13,0.00,knyc-central park
20131102,62,68,55,0.00,0.00,knyc-central park
20131103,46,55,37,0.00,0.00,knyc-central park
20131104,41,46,35,0.00,0.00,knyc-central park
20131105,48,55,41,0.00,0.00,knyc-central park
20131106,55,61,49,0.00,0.00,knyc-central park
20131107,54,64,44,0.13,0.00,knyc-central park
20131108,45,50,40,0.00,0.00,knyc-central park
20131109,44,50,38,0.00,0.00,knyc-central park
20131110,53,61,44,0.001,0.00,knyc-central park
20131111,48,53,43,0.00,0.00,knyc-central park
20131112,42,52,31,0.03,0.001,knyc-central park
20131113,34,39,29,0.00,0.00,knyc-central park
20131114,43,52,33,0.00,0.00,knyc-central park
20131115,51,57,44,0.00,0.00,knyc-central park
20131116,53,60,45,0.05,0.00,knyc-central park
20131117,56,60,51,0.03,0.00,knyc-central park
20131118,58,65,51,0.22,0.00,knyc-central park
20131119,44,51,36,0.00,0.00,knyc-central park
20131120,38,44,32,0.00,0.00,knyc-central park
20131121,44,52,35,0.00,0.00,knyc-central park
20131122,54,57,51,0.07,0.00,knyc-central park
20131123,43,54,31,0.001,0.001,knyc-central park
20131124,27,30,23,0.00,0.00,knyc-central park
20131125,29,35,23,0.00,0.00,knyc-central park
20131126,40,47,33,0.51,0.001,knyc-central park
20131127,49,62,35,1.98,0.00,knyc-central park
20131128,33,35,30,0.00,0.00,knyc-central park
20131129,34,39,29,0.00,0.00,knyc-central park
20131130,32,39,25,0.00,0.00,knyc-central park
20131131,43,48,37,0.00,7,knyc-central park
20131201,43,49,36,0.00,0.00,knyc-central park
20131202,45,49,41,0.00,0.00,knyc-central park
20131203,46,53,38,0.00,0.00,knyc-central park
20131204,47,52,41,0.00,0.00,knyc-central park
20131205,54,60,48,0.01,0.00,knyc-central park
20131206,50,62,37,0.73,0.00,knyc-central park
20131207,37,41,32,0.14,0.001,knyc-central park
20131208,31,33,29,0.08,0.10,knyc-central park
20131209,35,39,31,0.30,0.001,knyc-central park
20131210,34,37,30,0.23,1.40,knyc-central park
20131211,30,33,27,0.00,0.00,knyc-central park
20131212,27,30,23,0.00,0.00,knyc-central park
20131213,29,35,23,0.00,0.00,knyc-central park
20131214,28,34,22,0.73,5.00,knyc-central park
20131215,35,40,30,0.72,0.00,knyc-central park
20131216,29,33,25,0.00,0.00,knyc-central park
20131217,28,32,24,0.19,1.10,knyc-central park
20131218,30,37,23,0.00,0.00,knyc-central park
20131219,39,47,30,0.00,0.00,knyc-central park
20131220,47,53,41,0.00,0.00,knyc-central park
20131221,58,65,51,0.01,0.00,knyc-central park
20131222,66,71,61,0.001,0.00,knyc-central park
20131223,53,64,42,0.51,0.00,knyc-central park
20131224,34,42,26,0.001,0.001,knyc-central park
20131225,25,31,19,0.00,0.00,knyc-central park
20131226,33,36,30,0.001,0.001,knyc-central park
20131227,36,40,31,0.00,0.00,knyc-central park
20131228,46,55,36,0.00,0.00,knyc-central park
20131229,45,48,41,1.20,0.00,knyc-central park
20131230,34,45,23,0.00,0.00,knyc-central park
20131231,27,32,21,0.001,0.001,knyc-central park
