date,tempmean,tempmax,tempmin,precip,snow,location
20130102,28,33,22,0.00,0.00,knyc-central park
20130103,28,32,24,0.00,0.00,knyc-central park
20130104,34,37,30,0.00,0.00,knyc-central park
20130105,37,42,32,0.00,0.00,knyc-central park
20130106,40,46,34,0.001,0.001,knyc-central park
20130107,41,45,37,0.00,0.00,knyc-central park
20130108,42,48,35,0.00,0.00,knyc-central park
20130109,44,49,39,0.00,0.00,knyc-central park
20130110,44,47,40,0.00,0.00,knyc-central park
20130111,42,46,37,0.55,0.00,knyc-central park
20130112,45,47,42,0.02,0.00,knyc-central park
20130113,47,50,43,0.00,0.00,knyc-central park
20130114,47,56,38,0.09,0.00,knyc-central park
20130115,37,38,35,0.12,0.00,knyc-central park
20130116,35,37,32,0.69,0.001,knyc-central park
20130117,39,43,35,0.00,0.00,knyc-central park
20130118,30,35,25,0.00,0.00,knyc-central park
20130119,41,51,30,0.00,0.00,knyc-central park
20130120,42,53,30,0.00,0.00,knyc-central park
20130121,29,32,26,0.00,0.00,knyc-central park
20130122,20,27,13,0.001,0.001,knyc-central park
20130123,16,20,11,0.00,0.00,knyc-central park
20130124,17,22,12,0.00,0.00,knyc-central park
20130125,19,24,13,0.07,1.50,knyc-central park
20130126,21,27,15,0.00,0.00,knyc-central park
20130127,27,34,19,0.00,0.00,knyc-central park
20130128,33,36,29,0.22,0.001,knyc-central park
20130129,43,49,36,0.06,0.00,knyc-central park
20130130,49,59,39,0.04,0.00,knyc-central park
20130131,46,61,30,0.90,0.00,knyc-central park
20130201,28,31,24,0.00,0.00,knyc-central park
20130202,24,29,19,0.02,0.10,knyc-central park
20130203,27,30,24,0.02,0.30,knyc-central park
20130204,27,30,23,0.00,0.00,knyc-central park
20130205,30,32,28,0.02,0.40,knyc-central park
20130206,34,39,29,0.00,0.00,knyc-central park
20130207,29,32,26,0.00,0.00,knyc-central park
20130208,31,34,27,1.15,6.30,knyc-central park
20130209,27,32,21,0.38,0.00,knyc-central park
20130210,27,36,18,0.00,0.00,knyc-central park
20130211,40,45,34,0.49,0.00,knyc-central park
20130212,40,44,36,0.00,0.00,knyc-central park
20130213,39,44,33,0.03,0.001,knyc-central park
20130214,40,46,33,0.001,0.001,knyc-central park
20130215,46,55,37,0.00,0.00,knyc-central park
20130216,36,41,31,0.02,0.001,knyc-central park
20130217,25,32,18,0.00,0.00,knyc-central park
20130218,26,35,17,0.00,0.00,knyc-central park
20130219,41,49,33,0.15,0.00,knyc-central park
20130220,32,38,25,0.00,0.00,knyc-central park
20130221,29,34,24,0.00,0.00,knyc-central park
20130222,32,38,25,0.00,0.00,knyc-central park
20130223,39,42,36,0.26,0.00,knyc-central park
20130224,41,47,34,0.01,0.00,knyc-central park
20130225,39,45,32,0.00,0.00,knyc-central park
20130226,40,44,35,0.14,0.00,knyc-central park
20130227,42,47,36,1.56,0.00,knyc-central park
20130228,45,51,39,0.001,0.00,knyc-central park
20130301,41,45,36,0.00,0.00,knyc-central park
20130302,36,40,31,0.001,0.001,knyc-central park
20130303,35,40,29,0.001,0.001,knyc-central park
20130304,35,42,27,0.00,0.00,knyc-central park
20130305,40,49,31,0.00,0.00,knyc-central park
20130306,40,42,38,0.00,0.00,knyc-central park
20130307,36,38,33,0.19,0.001,knyc-central park
20130308,37,42,31,0.56,4.00,knyc-central park
20130309,45,55,35,0.00,0.00,knyc-central park
20130310,43,50,36,0.00,0.00,knyc-central park
20130311,47,54,40,0.00,0.00,knyc-central park
20130312,50,57,43,0.79,0.00,knyc-central park
20130313,45,52,38,0.00,0.00,knyc-central park
20130314,35,41,29,0.00,0.00,knyc-central park
20130315,39,47,30,0.00,0.00,knyc-central park
20130316,37,41,32,0.12,0.30,knyc-central park
20130317,34,38,29,0.00,0.00,knyc-central park
20130318,32,35,28,0.60,3.00,knyc-central park
20130319,38,43,33,0.36,0.00,knyc-central park
20130320,39,45,32,0.001,0.001,knyc-central park
20130321,35,40,30,0.001,0.001,knyc-central park
20130322,35,41,28,0.00,0.00,knyc-central park
20130323,39,46,32,0.00,0.00,knyc-central park
20130324,40,47,33,0.00,0.00,knyc-central park
20130325,38,40,36,0.17,0.001,knyc-central park
20130326,45,53,37,0.00,0.00,knyc-central park
20130327,45,53,36,0.00,0.00,knyc-central park
20130328,44,51,37,0.001,0.00,knyc-central park
20130329,48,55,40,0.00,0.00,knyc-central park
20130330,50,59,40,0.00,0.00,knyc-central park
20130331,49,54,44,0.08,0.00,knyc-central park
20130401,50,62,37,0.001,0.00,knyc-central park
20130402,38,43,33,0.00,0.00,knyc-central park
20130403,40,46,33,0.00,0.00,knyc-central park
20130404,43,53,33,0.00,0.00,knyc-central park
20130405,53,64,41,0.00,0.00,knyc-central park
20130406,44,52,35,0.00,0.00,knyc-central park
20130407,48,55,40,0.00,0.00,knyc-central park
20130408,62,73,51,0.00,0.00,knyc-central park
20130409,67,82,51,0.001,0.00,knyc-central park
20130410,65,74,55,0.49,0.00,knyc-central park
20130411,54,60,47,0.001,0.00,knyc-central park
20130412,44,47,41,0.63,0.00,knyc-central park
20130413,50,58,41,0.01,0.00,knyc-central park
20130414,52,57,46,0.00,0.00,knyc-central park
20130415,52,59,44,0.00,0.00,knyc-central park
20130416,55,63,47,0.00,0.00,knyc-central park
20130417,63,71,55,0.02,0.00,knyc-central park
20130418,55,59,51,0.01,0.00,knyc-central park
20130419,63,71,55,0.05,0.00,knyc-central park
20130420,52,60,43,0.06,0.00,knyc-central park
20130421,46,55,37,0.00,0.00,knyc-central park
20130422,48,55,41,0.00,0.00,knyc-central park
20130423,47,53,41,0.00,0.00,knyc-central park
20130424,57,69,44,0.00,0.00,knyc-central park
20130425,56,66,46,0.00,0.00,knyc-central park
20130426,59,67,50,0.00,0.00,knyc-central park
20130427,60,71,48,0.00,0.00,knyc-central park
20130428,60,69,51,0.00,0.00,knyc-central park
20130429,55,57,52,0.04,0.00,knyc-central park
20130430,60,68,51,0.00,0.00,knyc-central park
20130501,58,69,47,0.00,0.00,knyc-central park
20130502,61,72,49,0.00,0.00,knyc-central park
20130503,58,66,49,0.00,0.00,knyc-central park
20130504,59,69,48,0.00,0.00,knyc-central park
20130505,55,64,46,0.00,0.00,knyc-central park
20130506,58,69,46,0.00,0.00,knyc-central park
20130507,63,74,52,0.00,0.00,knyc-central park
20130508,59,63,55,3.02,0.00,knyc-central park
20130509,61,68,54,0.50,0.00,knyc-central park
20130510,69,79,59,0.01,0.00,knyc-central park
20130511,66,70,61,1.09,0.00,knyc-central park
20130512,61,70,51,0.001,0.00,knyc-central park
20130513,52,58,45,0.00,0.00,knyc-central park
20130514,52,61,42,0.00,0.00,knyc-central park
20130515,62,69,54,0.00,0.00,knyc-central park
20130516,71,79,62,0.00,0.00,knyc-central park
20130517,65,72,58,0.00,0.00,knyc-central park
20130518,61,65,56,0.01,0.00,knyc-central park
20130519,57,59,55,0.60,0.00,knyc-central park
20130520,69,79,58,0.00,0.00,knyc-central park
