date,tempmean,location
20090904,79,knyc-central park
20090905,79,knyc-central park
20090906,79,knyc-central park
20090907,78,knyc-central park
20090908,78,knyc-central park
20090909,78,knyc-central park
20090910,77,knyc-central park
20090911,77,knyc-central park
20090912,77,knyc-central park
20090913,76,knyc-central park
20090914,76,knyc-central park
20090915,76,knyc-central park
20090916,75,knyc-central park
20090917,75,knyc-central park
20090918,75,knyc-central park
20090919,74,knyc-central park
20090920,74,knyc-central park
20090921,73,knyc-central park
20090922,73,knyc-central park
20090923,73,knyc-central park
20090924,72,knyc-central park
20090925,72,knyc-central park
20090926,71,knyc-central park
20090927,71,knyc-central park
20090928,70,knyc-central park
20090929,70,knyc-central park
20090930,70,knyc-central park
20091001,69,knyc-central park
20091002,69,knyc-central park
20091003,68,knyc-central park
20091004,68,knyc-central park
20091005,68,knyc-central park
20091006,67,knyc-central park
20091007,67,knyc-central park
20091008,67,knyc-central park
20091009,66,knyc-central park
20091010,66,knyc-central park
20091011,65,knyc-central park
20091012,65,knyc-central park
20091013,65,knyc-central park
20091014,64,knyc-central park
20091015,64,knyc-central park
20091016,64,knyc-central park
20091017,63,knyc-central park
20091018,63,knyc-central park
20091019,63,knyc-central park
20091020,62,knyc-central park
20091021,62,knyc-central park
20091022,62,knyc-central park
20091023,61,knyc-central park
20091024,61,knyc-central park
20091025,61,knyc-central park
20091026,61,knyc-central park
20091027,60,knyc-central park
20091028,60,knyc-central park
20091029,60,knyc-central park
20091030,59,knyc-central park
20091101,59,knyc-central park
20091102,58,knyc-central park
20091103,58,knyc-central park
20091104,58,knyc-central park
20091105,57,knyc-central park
20091106,57,knyc-central park
20091107,57,knyc-central park
20091108,57,knyc-central park
20091109,56,knyc-central park
20091110,56,knyc-central park
20091111,56,knyc-central park
20091112,55,knyc-central park
20091113,55,knyc-central park
20091114,55,knyc-central park
20091115,54,knyc-central park
20091116,54,knyc-central park
20091117,53,knyc-central park
20091118,53,knyc-central park
20091119,53,knyc-central park
20091120,52,knyc-central park
20091121,52,knyc-central park
20091122,52,knyc-central park
20091123,51,knyc-central park
20091124,51,knyc-central park
20091125,50,knyc-central park
20091126,50,knyc-central park
20091127,50,knyc-central park
20091128,49,knyc-central park
20091129,49,knyc-central park
20091130,49,knyc-central park
20091131,70,knyc-central park
20091201,48,knyc-central park
20091202,48,knyc-central park
20091203,47,knyc-central park
20091204,47,knyc-central park
20091205,47,knyc-central park
20091206,46,knyc-central park
20091207,46,knyc-central park
20091208,45,knyc-central park
20091209,45,knyc-central park
20091210,45,knyc-central park
20091211,44,knyc-central park
20091212,44,knyc-central park
20091213,44,knyc-central park
20091214,43,knyc-central park
20091215,43,knyc-central park
20091216,43,knyc-central park
20091217,42,knyc-central park
20091218,42,knyc-central park
20091219,42,knyc-central park
20091220,42,knyc-central park
20091221,41,knyc-central park
20091222,41,knyc-central park
20091223,41,knyc-central park
20091224,41,knyc-central park
20091225,40,knyc-central park
20091226,40,knyc-central park
20091227,40,knyc-central park
20091228,40,knyc-central park
20091229,39,knyc-central park
20091230,39,knyc-central park
20091231,39,knyc-central park
