date,tempmean,tempmax,tempmin,precip,snow,dewpt,wind,location
20120101,47,52,41.0,0.05,0.00,40.0,6.0,knyc-central park
20120102,42,50,33.0,0.00,0.00,20.0,10.0,knyc-central park
20120103,24,33,15.0,0.00,0.00,8.0,11.0,knyc-central park
20120104,20,27,13.0,0.00,0.00,4.0,8.0,knyc-central park
20120105,34,40,27.0,0.00,0.00,17.0,6.0,knyc-central park
20120106,44,53,35.0,0.00,0.00,27.0,7.0,knyc-central park
20120107,54,62,46.0,0.00,0.00,31.0,7.0,knyc-central park
20120108,40,46,33.0,0.00,0.00,22.0,8.0,knyc-central park
20120109,36,41,31.0,0.00,0.00,19.0,4.0,knyc-central park
20120110,40,47,33.0,0.00,0.00,25.0,7.0,knyc-central park
20120111,43,48,37.0,0.07,0.00,30.0,6.0,knyc-central park
20120112,43,45,41.0,1.38,0.00,42.0,9.0,knyc-central park
20120113,39,50,28.0,0.09,0.001,31.0,11.0,knyc-central park
20120114,30,32,27.0,0.001,0.001,15.0,9.0,knyc-central park
20120115,21,27,15.0,0.00,0.00,-1.0,9.0,knyc-central park
20120116,26,37,15.0,0.04,0.001,11.0,5.0,knyc-central park
20120117,45,53,36.0,0.19,0.001,38.0,8.0,knyc-central park
20120118,39,54,24.0,0.00,0.00,18.0,10.0,knyc-central park
20120119,29,37,20.0,0.00,0.00,14.0,7.0,knyc-central park
20120120,30,36,24.0,0.00,0.00,10.0,7.0,knyc-central park
20120121,26,29,22.0,0.39,4.30,20.0,10.0,knyc-central park
20120122,26,34,18.0,0.00,0.00,19.0,8.0,knyc-central park
20120123,44,53,34.0,0.37,0.001,41.0,7.0,knyc-central park
20120124,48,53,42.0,0.00,0.00,39.0,8.0,knyc-central park
20120125,40,44,36.0,0.00,0.00,25.0,7.0,knyc-central park
20120126,37,40,33.0,0.18,0.001,32.0,4.0,knyc-central park
20120127,50,59,40.0,0.47,0.00,46.0,8.0,knyc-central park
20120128,40,44,37.0,0.00,0.00,25.0,10.0,knyc-central park
20120129,33,69,0.11,,,4.7,,knyc-central park
20120130,33,64,0.11,,,5.8,,knyc-central park
20120131,54,55,54.0,0.00,0.00,30.0,13.0,knyc-central park
20120201,55,62,48.0,0.03,0.00,37.0,8.0,knyc-central park
20120202,43,50,35.0,0.00,0.00,28.0,7.0,knyc-central park
20120203,37,44,30.0,0.00,0.00,18.0,7.0,knyc-central park
20120204,41,46,35.0,0.00,0.00,22.0,5.0,knyc-central park
20120205,36,40,32.0,0.00,0.00,18.0,6.0,knyc-central park
20120206,42,51,33.0,0.00,0.00,23.0,8.0,knyc-central park
20120207,44,49,38.0,0.00,0.00,26.0,6.0,knyc-central park
20120208,35,38,31.0,0.01,0.001,23.0,4.0,knyc-central park
20120209,39,46,31.0,0.001,0.001,22.0,7.0,knyc-central park
20120210,40,45,34.0,0.00,0.00,23.0,6.0,knyc-central park
20120211,35,38,32.0,0.08,0.001,28.0,6.0,knyc-central park
20120212,26,32,20.0,0.001,0.20,12.0,10.0,knyc-central park
20120213,36,44,28.0,0.00,0.00,16.0,8.0,knyc-central park
20120214,42,47,36.0,0.02,0.00,20.0,4.0,knyc-central park
20120215,43,46,39.0,0.01,0.00,36.0,4.0,knyc-central park
20120216,40,44,36.0,0.19,0.00,36.0,4.0,knyc-central park
20120217,46,50,41.0,0.03,0.00,33.0,7.0,knyc-central park
20120218,42,48,35.0,0.02,0.00,24.0,7.0,knyc-central park
20120219,40,44,35.0,0.00,0.00,22.0,7.0,knyc-central park
20120220,39,46,31.0,0.00,0.00,16.0,7.0,knyc-central park
20120221,39,46,32.0,0.00,0.00,26.0,7.0,knyc-central park
20120222,50,57,43.0,0.00,0.00,34.0,6.0,knyc-central park
20120223,52,58,46.0,0.00,0.00,32.0,8.0,knyc-central park
20120224,41,46,36.0,0.60,0.001,37.0,8.0,knyc-central park
20120225,39,45,33.0,0.001,0.001,20.0,15.0,knyc-central park
20120226,37,45,29.0,0.00,0.00,12.0,9.0,knyc-central park
20120227,48,59,36.0,0.00,0.00,29.0,3.0,knyc-central park
20120228,45,50,40.0,0.00,0.00,21.0,6.0,knyc-central park
20120301,39,41,37.0,0.13,0.00,36.0,2.0,knyc-central park
20120302,38,42,33.0,0.16,0.00,31.0,8.0,knyc-central park
20120303,49,56,42.0,0.12,0.00,37.0,4.0,knyc-central park
20120304,41,45,36.0,0.00,0.00,20.0,7.0,knyc-central park
20120305,36,44,28.0,0.00,0.00,11.0,9.0,knyc-central park
20120306,35,44,25.0,0.00,0.00,13.0,7.0,knyc-central park
20120307,50,62,37.0,0.00,0.00,31.0,8.0,knyc-central park
20120308,62,71,53.0,0.00,0.00,47.0,7.0,knyc-central park
20120309,51,64,37.0,0.02,0.00,26.0,9.0,knyc-central park
20120310,36,43,29.0,0.00,0.00,11.0,7.0,knyc-central park
