20100101,37,40,33,0.03,T
20100102,26,34,17,0.02,0.20
20100103,20,22,17,T,T
20100104,25,30,19,0.00,0.00
20100105,25,30,20,T,T
20100106,30,34,26,T,T
20100107,34,37,30,0.00,0.00
20100108,28,33,23,0.05,0.60
20100109,24,30,18,0.00,0.00
20100110,21,28,14,0.00,0.00
20100111,26,31,21,0.00,0.00
20100112,30,35,24,0.00,0.00
20100113,30,35,24,0.00,0.00
20100114,36,42,30,0.00,0.00
20100115,43,50,35,0.00,0.00
20100116,44,49,38,0.00,0.00
20100117,41,46,35,0.57,T
20100118,44,50,37,0.05,0.00
20100119,44,48,40,T,0.00
20100120,38,41,34,0.00,0.00
20100121,36,41,31,0.00,0.00
20100122,38,44,32,0.00,0.00
20100123,34,40,28,0.00,0.00
20100124,41,50,32,0.02,0.00
20100125,53,57,49,1.25,0.00
20100126,42,49,35,T,0.00
20100127,35,39,31,0.00,0.00
20100128,31,42,20,0.09,1.30
20100129,20,23,16,0.00,0.00
20100130,17,20,13,0.00,0.00
20100131,22,30,14,0.00,0.00
20100201,30,35,25,0.00,0.00
20100202,30,33,27,0.03,0.80
20100203,34,39,29,0.06,0.20
20100204,33,37,28,0.00,0.00
20100205,33,36,29,0.00,0.00
20100206,27,33,20,T,T
20100207,26,34,17,0.00,0.00
20100208,30,37,23,0.00,0.00
20100209,35,42,28,T,T
20100210,32,34,30,1.33,10.00
20100211,33,37,28,0.00,0.00
20100212,32,37,26,0.00,0.00
20100213,28,32,24,0.00,0.00
20100214,34,39,28,0.00,0.00
20100215,34,40,27,0.01,T
20100216,31,33,29,0.43,5.00
20100217,31,35,26,0.00,0.00
20100218,36,40,32,0.00,0.00
20100219,39,43,35,0.00,0.00
20100220,40,44,35,0.00,0.00
20100221,40,46,33,0.00,0.00
20100222,37,45,29,0.03,T
20100223,37,38,35,1.20,T
20100224,39,42,36,0.42,0.00
20100225,33,38,27,2.00,9.40
20100226,30,33,26,1.17,11.50
20100227,34,38,29,0.01,T
20100228,37,40,33,T,T
20100301,42,48,36,0.00,0.00
20100302,42,47,36,0.01,0.00
20100303,38,41,34,0.07,T
20100304,41,47,35,0.00,0.00
20100305,42,49,34,0.00,0.00
20100306,43,54,32,0.00,0.00
20100307,47,57,37,0.00,0.00
20100308,51,61,41,0.00,0.00
20100309,53,61,44,0.00,0.00
20100310,51,57,44,0.00,0.00
20100311,48,53,42,0.00,0.00
20100312,41,43,39,0.21,0.00
20100313,42,46,38,3.86,0.00
20100314,47,50,43,0.24,0.00
20100315,44,46,41,0.33,0.00
20100316,52,63,41,T,0.00
20100317,55,66,43,0.00,0.00
20100318,60,69,50,0.00,0.00
20100319,61,72,49,0.00,0.00
20100320,64,74,54,0.00,0.00
20100321,58,64,51,0.00,0.00
20100322,54,57,50,1.34,0.00
20100323,49,53,45,0.11,0.00
20100324,52,60,43,0.00,0.00
20100325,55,62,48,T,0.00
20100326,43,52,34,0.14,0.00
20100327,37,44,29,0.00,0.00
20100328,43,49,36,0.34,0.00
20100329,51,53,48,1.58,0.00
20100330,46,50,41,2.45,0.00
20100331,51,57,45,0.01,0.00
20100401,59,70,48,0.00,0.00
20100402,58,68,48,0.00,0.00
20100403,57,67,47,0.00,0.00
20100404,62,76,47,0.00,0.00
20100405,66,75,56,0.00,0.00
20100406,68,78,58,0.00,0.00
20100407,74,92,56,0.00,0.00
20100408,72,80,64,0.00,0.00
20100409,56,68,44,0.30,0.00
20100410,52,62,42,0.00,0.00
20100411,64,76,52,0.00,0.00
20100412,60,67,52,0.00,0.00
20100413,52,56,47,0.00,0.00
20100414,56,67,45,0.00,0.00
20100415,62,73,50,0.00,0.00
20100416,52,57,46,0.31,0.00
20100417,50,54,46,0.01,0.00
20100418,50,57,42,0.00,0.00
20100419,55,63,46,0.00,0.00
20100420,59,70,47,0.00,0.00
20100421,61,69,53,0.03,0.00
20100422,62,72,51,T,0.00
20100423,56,68,44,0.00,0.00
20100424,57,68,46,T,0.00
20100425,49,52,46,1.60,0.00
20100426,51,53,48,0.69,0.00
20100427,50,58,41,0.05,0.00
20100428,48,56,40,0.00,0.00
20100429,57,69,45,0.00,0.00
20100430,67,78,56,0.00,0.00
20100501,75,85,64,0.00,0.00
20100502,77,88,66,T,0.00
20100503,74,80,67,1.29,0.00
20100504,72,81,62,T,0.00
20100505,69,80,58,0.00,0.00
20100506,69,78,59,T,0.00
20100507,63,73,52,0.00,0.00
20100508,63,76,49,0.04,0.00
20100509,48,52,44,0.00,0.00
20100510,51,61,41,0.00,0.00
20100511,50,56,43,0.03,0.00
20100512,46,48,44,0.43,0.00
20100513,55,67,43,0.00,0.00
20100514,68,80,55,0.04,0.00
20100515,67,73,60,0.00,0.00
20100516,63,72,54,0.00,0.00
20100517,65,74,55,0.00,0.00
20100518,56,62,50,1.09,0.00
20100519,57,64,50,T,0.00
20100520,67,79,55,0.00,0.00
20100521,73,85,61,0.00,0.00
20100522,66,74,57,0.00,0.00
20100523,65,71,58,T,0.00
20100524,67,73,60,0.03,0.00
20100525,72,82,61,0.00,0.00
20100526,79,92,65,0.00,0.00
20100527,69,83,55,0.06,0.00
20100528,63,70,56,0.00,0.00
20100529,69,77,61,0.00,0.00
20100530,76,84,67,0.00,0.00
20100531,78,86,69,0.00,0.00
20100601,76,85,66,T,0.00
20100602,77,87,67,0.00,0.00
20100603,77,87,67,0.00,0.00
20100604,80,88,72,0.00,0.00
20100605,82,88,76,0.00,0.00
